PUBLICATION_DATE,UID,SITE_ID,DATE_COL,PSTL_CODE,VISIT_NO,YEAR,STUDY,INDEX_HEC,INDEX_LE,INDEX_SMR,INDEX_NIAG,NCCA_REG,SAMPLE_TYPE,STATION_DEPTH,MEAN_SECCHI_DEPTH,REP,CLEAR_TO_BOTTOM,DISAPPEARS,REAPPEARS,SECCHI_TIME,NARS_FLAG,NCCA_COMMENT,SECCHI_COMMENT
1/6/2022,155670,LHLEC-019,24-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,6.8,,1,,3.1,2.5,,,,
1/6/2022,155670,LHLEC-019,24-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,6.8,,2,,2.9,2.7,,,,
1/6/2022,155670,LHLEC-019,24-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,6.8,,3,,3,2.9,,,,
1/6/2022,155671,LHLEC-030,25-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,12.3,2.067,0,N,,,8:47,,,
1/6/2022,155671,LHLEC-030,25-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,12.3,,1,,1.9,1.7,,,,
1/6/2022,155671,LHLEC-030,25-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,12.3,,2,,2.1,1.9,,,,
1/6/2022,155671,LHLEC-030,25-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,12.3,,3,,2.2,1.9,,,,
1/6/2022,155672,LHLEC-080,27-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,4.1,1.733,0,N,,,9:10,,,
1/6/2022,155672,LHLEC-080,27-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,4.1,,1,,1.7,1.6,,,,
1/6/2022,155672,LHLEC-080,27-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,4.1,,2,,1.8,1.6,,,,
1/6/2022,155672,LHLEC-080,27-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,4.1,,3,,1.7,1.6,,,,
1/6/2022,155673,LHLEC-092,27-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,5.4,4.15,0,Y,,,10:00,,,
1/6/2022,155674,LHLEC-078,27-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,5.8,2.833,0,N,,,12:55,,,
1/6/2022,155674,LHLEC-078,27-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,5.8,,1,,2.8,2.7,,,,
1/6/2022,155674,LHLEC-078,27-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,5.8,,2,,2.8,2.7,,,,
1/6/2022,155674,LHLEC-078,27-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,5.8,,3,,2.9,2.8,,,,
1/6/2022,155675,LHLEC-094,27-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,5.4,4.367,0,N,,,13:45,,,
1/6/2022,155675,LHLEC-094,27-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,5.4,,1,,4.4,4.2,,,,
1/6/2022,155675,LHLEC-094,27-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,5.4,,2,,4.3,4.2,,,,
1/6/2022,155675,LHLEC-094,27-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,5.4,,3,,4.4,4.3,,,,
1/6/2022,155676,UP-DETROIT,27-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,,,,,Great Lakes,SECC,1.3,1.807,0,Y,,,14:34,,,
1/6/2022,155677,LHLEC-086,27-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,5.4,4.039,0,Y,,,17:48,,,
1/6/2022,155678,LHLEC-026,27-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,10.2,2.867,0,N,,,16:04,,,
1/6/2022,155678,LHLEC-026,27-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,10.2,,1,,2.9,2.8,,,,
1/6/2022,155678,LHLEC-026,27-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,10.2,,2,,2.8,2.7,,,,
1/6/2022,155678,LHLEC-026,27-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,10.2,,3,,2.9,2.7,,,,
1/6/2022,155680,LHLEC-081,28-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,6,4.984,0,Y,,,8:03,,,
1/6/2022,155681,LHLEC-093,28-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,5.6,4.333,0,N,,,8:50,,,
1/6/2022,155681,LHLEC-093,28-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,5.6,,1,,4.3,4.2,,,,
1/6/2022,155681,LHLEC-093,28-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,5.6,,2,,4.3,4.2,,,,
1/6/2022,155681,LHLEC-093,28-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,5.6,,3,,4.4,4.3,,,,
1/6/2022,155682,THAMES,28-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,,,,,Great Lakes,SECC,0.9,0.364,0,Y,,,9:48,,,
1/6/2022,155683,LHLEC-104,28-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,3.2,1.933,0,N,,,10:28,,,
1/6/2022,155683,LHLEC-104,28-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,3.2,,1,,1.9,1.7,,,,
1/6/2022,155683,LHLEC-104,28-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,3.2,,2,,2,1.8,,,,
1/6/2022,155683,LHLEC-104,28-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,3.2,,3,,1.9,1.8,,,,
1/6/2022,155684,LHLEC-102,26-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,6.1,2.733,0,N,,,13:35,,,
1/6/2022,155684,LHLEC-102,26-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,6.1,,1,,2.6,2.5,,,,Taken by Mudpuppy crew later in day
1/6/2022,155684,LHLEC-102,26-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,6.1,,2,,2.7,2.6,,,,
1/6/2022,155684,LHLEC-102,26-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,6.1,,3,,2.9,2.8,,,,
1/6/2022,155685,LHLEC-100,26-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,4.6,1.067,0,N,,,11:10,,,
1/6/2022,155685,LHLEC-100,26-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,4.6,,1,,1.1,0.9,,,,
1/6/2022,155685,LHLEC-100,26-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,4.6,,2,,1.1,1,,,,
1/6/2022,155685,LHLEC-100,26-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,4.6,,3,,1,0.9,,,,
1/6/2022,155686,LHLEC-096,26-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,4,5.435,0,Y,,,8:54,,,
1/6/2022,155687,LHLEC-077,27-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,6,5.933,0,N,,,10:39,,,
1/6/2022,155687,LHLEC-077,27-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,6,,1,,6,5.9,,,,Units are meters
1/6/2022,155687,LHLEC-077,27-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,6,,2,,5.9,5.8,,,,
1/6/2022,155687,LHLEC-077,27-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,6,,3,,5.9,5.8,,,,
1/6/2022,155690,LHLEC-098,26-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,5.3,4.628,0,Y,,,17:03,,,
1/6/2022,155691,LHLEC-088,26-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,0.7,0.657,0,Y,,,10:10,,,
1/6/2022,155692,LHLEC-101,27-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,6.4,5.5,0,N,,,7:58,,,
1/6/2022,155692,LHLEC-101,27-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,6.4,,1,,5.5,5.3,,,,
1/6/2022,155692,LHLEC-101,27-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,6.4,,2,,5.5,5.4,,,,
1/6/2022,155692,LHLEC-101,27-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,6.4,,3,,5.5,5.3,,,,
1/6/2022,155693,LHLEC-014,25-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,7.7,5.3,0,N,,,17:31,,,
1/6/2022,155693,LHLEC-014,25-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,7.7,,1,,5.4,5.2,,,,
1/6/2022,155693,LHLEC-014,25-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,7.7,,2,,5.3,5.2,,,,
1/6/2022,155693,LHLEC-014,25-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,7.7,,3,,5.2,5,,,,
1/6/2022,155694,LHLEC-023,24-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,1.8,1,0,N,,,17:25,,,
1/6/2022,155694,LHLEC-023,24-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,1.8,,1,,1,1,,,,Disappears because of weeds
1/6/2022,155694,LHLEC-023,24-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,1.8,,2,,1,1,,,,
1/6/2022,155694,LHLEC-023,24-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,1.8,,3,,1,1,,,,
1/6/2022,155695,LHLEC-085,28-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,5.7,2.967,0,N,,,13:08,,,
1/6/2022,155695,LHLEC-085,28-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,5.7,,1,,2.8,2.5,,,,
1/6/2022,155695,LHLEC-085,28-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,5.7,,2,,3,2.8,,,,
1/6/2022,155695,LHLEC-085,28-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,5.7,,3,,3.1,3,,,,
1/6/2022,155696,LHLEC-105,28-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,5.5,2.067,0,N,,,15:55,,,
1/6/2022,155696,LHLEC-105,28-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,5.5,,1,,2.1,1.9,,,,
1/6/2022,155696,LHLEC-105,28-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,5.5,,2,,2,1.9,,,,
1/6/2022,155696,LHLEC-105,28-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,5.5,,3,,2.1,2,,,,
1/6/2022,155697,LHLEC-082,26-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,5.9,5.767,0,N,,,17:57,,,
1/6/2022,155697,LHLEC-082,26-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,5.9,,1,,5.6,5.5,,,,
1/6/2022,155697,LHLEC-082,26-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,5.9,,2,,5.8,5.7,,,,
1/6/2022,155697,LHLEC-082,26-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,5.9,,3,,5.9,5.8,,,,
1/6/2022,155698,LHLEC-007,24-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,11.5,3.1,0,N,,,14:28,,,
1/6/2022,155698,LHLEC-007,24-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,11.5,,1,,3.1,2.7,,,,
1/6/2022,155698,LHLEC-007,24-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,11.5,,2,,3.3,2.9,,,,
1/6/2022,155698,LHLEC-007,24-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,11.5,,3,,2.9,2.7,,,,
1/6/2022,155740,LHLEC-097,28-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,6.2,5.167,0,Y,,,13:51,,,
1/6/2022,155741,LHLEC-097,28-Sep-14,ON,2,2014,Lake_St_Clair_Corridor,N,,,,Great Lakes,SECC,6.2,5.102,0,Y,,,14:18,,,
1/6/2022,155742,LHLEC-089,28-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,6.5,4,0,N,,,15:08,,,
1/6/2022,155742,LHLEC-089,28-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,6.5,,1,,4,3.8,,,,
1/6/2022,155742,LHLEC-089,28-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,6.5,,2,,4,3.9,,,,
1/6/2022,155742,LHLEC-089,28-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,6.5,,3,,4,3.9,,,,
1/6/2022,155920,LHLEC-006,1-Oct-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,10,3.1,0,N,,,12:02,,,
1/6/2022,155920,LHLEC-006,1-Oct-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,10,,1,,3.1,3,,,,
1/6/2022,155920,LHLEC-006,1-Oct-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,10,,2,,3.1,2.9,,,,
1/6/2022,155920,LHLEC-006,1-Oct-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,10,,3,,3.1,3,,,,
1/6/2022,155921,LHLEC-021,1-Oct-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,3,2.367,0,N,,,17:33,,,
1/6/2022,155921,LHLEC-021,1-Oct-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,3,,1,,2.4,2.3,,,,
1/6/2022,155921,LHLEC-021,1-Oct-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,3,,2,,2.4,2.3,,,,
1/6/2022,155921,LHLEC-021,1-Oct-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,3,,3,,2.3,2.2,,,,
1/6/2022,155922,LHLEC-029,1-Oct-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,0.9,,0,Y,,,15:57,,,
1/6/2022,155923,LHLEC-002,1-Oct-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,1.4,2.222,0,Y,,,16:42,,,
1/6/2022,155924,LHLEC-013,1-Oct-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,9.7,2.867,0,N,,,14:34,,,
1/6/2022,155924,LHLEC-013,1-Oct-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,9.7,,1,,2.9,2.8,,,,
1/6/2022,155924,LHLEC-013,1-Oct-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,9.7,,2,,2.9,2.8,,,,
1/6/2022,155924,LHLEC-013,1-Oct-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,9.7,,3,,2.8,2.7,,,,
1/6/2022,155933,DOWN-10MILE,28-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,,,,,Great Lakes,SECC,2.7,2.839,0,Y,,,17:54,,,
1/6/2022,155934,LHLEC-084,29-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,2.2,3.544,0,Y,,,11:33,,,
1/6/2022,155940,LHLEC-017,29-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,5.6,2.767,0,N,,,14:33,,,
1/6/2022,155940,LHLEC-017,29-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,5.6,,1,,2.8,2.6,,,,
1/6/2022,155940,LHLEC-017,29-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,5.6,,2,,2.7,2.5,,,,
1/6/2022,155940,LHLEC-017,29-Sep-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,5.6,,3,,2.8,2.7,,,,
1/6/2022,155941,LHLEC-025,29-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,5,2.067,0,N,,,18:08,,,
1/6/2022,155941,LHLEC-025,29-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,5,,1,,2.1,2,,,,
1/6/2022,155941,LHLEC-025,29-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,5,,2,,2,1.9,,,,
1/6/2022,155941,LHLEC-025,29-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,5,,3,,2.1,2,,,,
1/6/2022,155942,LHLEC-025,29-Sep-14,MI,2,2014,Lake_St_Clair_Corridor,N,,,,Great Lakes,SECC,5,2.1,0,N,,,18:29,,,
1/6/2022,155942,LHLEC-025,29-Sep-14,MI,2,2014,Lake_St_Clair_Corridor,N,,,,Great Lakes,SECC,5,,1,,2.1,2,,,,
1/6/2022,155942,LHLEC-025,29-Sep-14,MI,2,2014,Lake_St_Clair_Corridor,N,,,,Great Lakes,SECC,5,,2,,2.1,2,,,,
1/6/2022,155942,LHLEC-025,29-Sep-14,MI,2,2014,Lake_St_Clair_Corridor,N,,,,Great Lakes,SECC,5,,3,,2.1,1.9,,,,
1/6/2022,155943,LHLEC-009,30-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,16.5,2.567,0,N,,,8:02,,,
1/6/2022,155943,LHLEC-009,30-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,16.5,,1,,2.5,2.4,,,,
1/6/2022,155943,LHLEC-009,30-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,16.5,,2,,2.6,2.4,,,,
1/6/2022,155943,LHLEC-009,30-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,16.5,,3,,2.6,2.5,,,,
1/6/2022,155944,LHLEC-005,30-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,12.9,2.5,0,N,,,10:50,,,
1/6/2022,155944,LHLEC-005,30-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,12.9,,1,,2.5,2.4,,,,
1/6/2022,155944,LHLEC-005,30-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,12.9,,2,,2.5,2.4,,,,
1/6/2022,155944,LHLEC-005,30-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,12.9,,3,,2.5,2.4,,,,
1/6/2022,155945,LHLEC-090,30-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,2.9,4.637,0,Y,,,16:20,,,
1/6/2022,155950,LHLEC-099,30-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,1,2.287,0,Y,,,15:20,,,
1/6/2022,155951,LHLEC-083,30-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,2.6,2.033,0,N,,,13:53,,,
1/6/2022,155951,LHLEC-083,30-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,2.6,,1,,2.1,2,,,,
1/6/2022,155951,LHLEC-083,30-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,2.6,,2,,2,1.9,,,,
1/6/2022,155951,LHLEC-083,30-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,2.6,,3,,2,1.9,,,,
1/6/2022,155952,LHLEC-087,30-Sep-14,MI,2,2014,Lake_St_Clair_Corridor,N,,,,Great Lakes,SECC,1.7,1.588,0,Y,,,17:40,,,
1/6/2022,155953,LHLEC-087,30-Sep-14,MI,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,1.7,1.692,0,Y,,,17:17,,,
1/6/2022,155954,LHLEC-022,1-Oct-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,11.7,2.233,0,N,,,9:37,,,
1/6/2022,155954,LHLEC-022,1-Oct-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,11.7,,1,,2.3,2.2,,,,
1/6/2022,155954,LHLEC-022,1-Oct-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,11.7,,2,,2.1,2,,,,
1/6/2022,155954,LHLEC-022,1-Oct-14,ON,1,2014,Lake_St_Clair_Corridor,Y,,,,Great Lakes,SECC,11.7,,3,,2.3,2.1,,,,
